ID,checking_balance,months_loan_duration,credit_history,purpose,amount,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,job,dependents,telephone,foreign_worker,default
20,unknown,24,repaid,radio/tv,3430,> 7 yrs,3,single male,none,2,other,31,none,own,1,skilled employee,2,yes,yes,0
21,unknown,9,critical,car (new),2134,1 - 4 yrs,4,single male,none,4,other,48,none,own,3,skilled employee,1,yes,yes,0
22,< 0 $,6,repaid,radio/tv,2647,1 - 4 yrs,2,single male,none,3,real estate,44,none,rent,1,skilled employee,2,none,yes,0
23,< 0 $,10,critical,car (new),2241,0 - 1 yrs,1,single male,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,0
24,1 - 200 $,12,critical,car (used),1804,0 - 1 yrs,3,single male,none,4,building society savings,44,none,own,1,skilled employee,1,none,yes,0
25,unknown,10,critical,furniture,2069,1 - 4 yrs,2,married male,none,1,other,26,none,own,2,skilled employee,1,none,no,0
26,< 0 $,6,repaid,furniture,1374,1 - 4 yrs,1,single male,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,0
27,unknown,6,fully repaid,radio/tv,426,> 7 yrs,4,married male,none,4,other,39,none,own,1,unskilled resident,1,none,yes,0
28,> 200 $,12,fully repaid this bank,radio/tv,409,1 - 4 yrs,3,female,none,3,real estate,42,none,rent,2,skilled employee,1,none,yes,0
29,1 - 200 $,7,repaid,radio/tv,2415,1 - 4 yrs,3,single male,guarantor,2,real estate,34,none,own,1,skilled employee,1,none,yes,0
30,< 0 $,60,delayed,business,6836,> 7 yrs,3,single male,none,4,unknown/none,63,none,own,2,skilled employee,1,yes,yes,1
31,1 - 200 $,18,repaid,business,1913,0 - 1 yrs,3,married male,none,3,real estate,36,bank,own,1,skilled employee,1,yes,yes,0
32,< 0 $,24,repaid,furniture,4020,1 - 4 yrs,2,single male,none,2,other,27,stores,own,1,skilled employee,1,none,yes,0
33,1 - 200 $,18,repaid,car (new),5866,1 - 4 yrs,2,single male,none,2,other,30,none,own,2,skilled employee,1,yes,yes,0
34,unknown,12,critical,business,1264,> 7 yrs,4,single male,none,4,unknown/none,57,none,rent,1,unskilled resident,1,none,yes,0
35,> 200 $,12,repaid,furniture,1474,0 - 1 yrs,4,female,none,1,building society savings,33,bank,own,1,mangement self-employed,1,yes,yes,0
36,1 - 200 $,45,critical,radio/tv,4746,0 - 1 yrs,4,single male,none,2,building society savings,25,none,own,2,unskilled resident,1,none,yes,1
37,unknown,48,critical,education,6110,1 - 4 yrs,1,single male,none,3,unknown/none,31,bank,for free,1,skilled employee,1,yes,yes,0
38,> 200 $,18,repaid,radio/tv,2100,1 - 4 yrs,4,single male,co-applicant,2,real estate,37,stores,own,1,skilled employee,1,none,yes,1
39,> 200 $,10,repaid,domestic appliances,1225,1 - 4 yrs,2,single male,none,2,other,37,none,own,1,skilled employee,1,yes,yes,0
40,1 - 200 $,9,repaid,radio/tv,458,1 - 4 yrs,4,single male,none,3,real estate,24,none,own,1,skilled employee,1,none,yes,0
41,unknown,30,repaid,radio/tv,2333,> 7 yrs,4,single male,none,2,other,30,bank,own,1,mangement self-employed,1,none,yes,0
42,1 - 200 $,12,repaid,radio/tv,1158,1 - 4 yrs,3,divorced male,none,1,other,26,none,own,1,skilled employee,1,yes,yes,0
43,1 - 200 $,18,delayed,repairs,6204,1 - 4 yrs,2,single male,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,0
44,< 0 $,30,critical,car (used),6187,4 - 7 yrs,1,married male,none,4,other,24,none,rent,2,skilled employee,1,none,yes,0
45,< 0 $,48,critical,car (used),6143,> 7 yrs,4,female,none,4,unknown/none,58,stores,for free,2,unskilled resident,1,none,yes,1
46,unknown,11,critical,car (new),1393,0 - 1 yrs,4,female,none,4,other,35,none,own,2,mangement self-employed,1,none,yes,0
47,unknown,36,repaid,radio/tv,2299,> 7 yrs,4,single male,none,4,other,39,none,own,1,skilled employee,1,none,yes,0
48,< 0 $,6,repaid,car (used),1352,unemployed,1,female,none,2,building society savings,23,none,rent,1,unemployed non-resident,1,yes,yes,0
49,unknown,11,critical,car (new),7228,1 - 4 yrs,1,single male,none,4,building society savings,39,none,own,2,unskilled resident,1,none,yes,0
50,unknown,12,repaid,radio/tv,2073,1 - 4 yrs,4,female,co-applicant,2,real estate,28,none,own,1,skilled employee,1,none,yes,0
51,1 - 200 $,24,delayed,furniture,2333,0 - 1 yrs,4,single male,none,2,building society savings,29,bank,own,1,unskilled resident,1,none,yes,0
52,1 - 200 $,27,delayed,car (used),5965,> 7 yrs,1,single male,none,2,other,30,none,own,2,mangement self-employed,1,yes,yes,0
53,unknown,12,repaid,radio/tv,1262,1 - 4 yrs,3,single male,none,2,other,25,none,own,1,skilled employee,1,none,yes,0
54,unknown,18,repaid,car (used),3378,1 - 4 yrs,2,single male,none,1,building society savings,31,none,own,1,skilled employee,1,yes,yes,0
55,1 - 200 $,36,delayed,car (new),2225,> 7 yrs,4,single male,none,4,unknown/none,57,bank,for free,2,skilled employee,1,yes,yes,1
56,unknown,6,fully repaid this bank,car (new),783,1 - 4 yrs,1,single male,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,0
57,1 - 200 $,12,repaid,radio/tv,6468,unemployed,2,single male,none,1,unknown/none,52,none,own,1,mangement self-employed,1,yes,yes,1
58,unknown,36,critical,radio/tv,9566,1 - 4 yrs,2,female,none,2,other,31,stores,own,2,skilled employee,1,none,yes,0
59,> 200 $,18,repaid,car (new),1961,> 7 yrs,3,female,none,2,other,23,none,own,1,mangement self-employed,1,none,yes,0
60,< 0 $,36,critical,furniture,6229,0 - 1 yrs,4,female,co-applicant,4,unknown/none,23,none,rent,2,unskilled resident,1,yes,yes,1
61,1 - 200 $,9,repaid,business,1391,1 - 4 yrs,2,married male,none,1,real estate,27,bank,own,1,skilled employee,1,yes,yes,0
62,1 - 200 $,15,critical,radio/tv,1537,> 7 yrs,4,single male,guarantor,4,real estate,50,none,own,2,skilled employee,1,yes,yes,0
63,1 - 200 $,36,fully repaid,business,1953,> 7 yrs,4,single male,none,4,unknown/none,61,none,for free,1,mangement self-employed,1,yes,yes,1
64,1 - 200 $,48,fully repaid,business,14421,1 - 4 yrs,2,single male,none,2,other,25,none,own,1,skilled employee,1,yes,yes,1
65,unknown,24,repaid,radio/tv,3181,0 - 1 yrs,4,female,none,4,building society savings,26,none,own,1,skilled employee,1,yes,yes,0
66,unknown,27,repaid,repairs,5190,> 7 yrs,4,single male,none,4,building society savings,48,none,own,4,skilled employee,2,yes,yes,0
67,unknown,12,repaid,radio/tv,2171,0 - 1 yrs,2,female,none,2,other,29,bank,own,1,skilled employee,1,none,yes,0
68,1 - 200 $,12,repaid,car (new),1007,1 - 4 yrs,4,married male,none,1,real estate,22,none,own,1,skilled employee,1,none,yes,0
69,unknown,36,repaid,education,1819,1 - 4 yrs,4,single male,none,4,unknown/none,37,stores,for free,1,skilled employee,1,yes,yes,1
70,unknown,36,repaid,radio/tv,2394,1 - 4 yrs,4,female,none,4,other,25,none,own,1,skilled employee,1,none,yes,0
71,unknown,36,repaid,car (used),8133,1 - 4 yrs,1,female,none,2,building society savings,30,bank,own,1,skilled employee,1,none,yes,0
72,unknown,7,critical,radio/tv,730,> 7 yrs,4,single male,none,2,building society savings,46,none,rent,2,unskilled resident,1,yes,yes,0
73,< 0 $,8,critical,others,1164,> 7 yrs,3,single male,none,4,unknown/none,51,bank,for free,2,mangement self-employed,2,yes,yes,0
74,1 - 200 $,42,critical,business,5954,4 - 7 yrs,2,female,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,0
75,< 0 $,36,repaid,education,1977,> 7 yrs,4,single male,none,4,unknown/none,40,none,own,1,mangement self-employed,1,yes,yes,1
76,< 0 $,12,critical,car (used),1526,> 7 yrs,4,single male,none,4,unknown/none,66,none,for free,2,mangement self-employed,1,none,yes,0
77,< 0 $,42,repaid,radio/tv,3965,0 - 1 yrs,4,single male,none,3,other,34,none,own,1,skilled employee,1,none,yes,1
78,1 - 200 $,11,delayed,radio/tv,4771,4 - 7 yrs,2,single male,none,4,building society savings,51,none,own,1,skilled employee,1,none,yes,0
79,unknown,54,fully repaid,car (used),9436,1 - 4 yrs,2,single male,none,2,building society savings,39,none,own,1,unskilled resident,2,none,yes,0
80,1 - 200 $,30,repaid,furniture,3832,0 - 1 yrs,2,married male,none,1,building society savings,22,none,own,1,skilled employee,1,none,yes,0
81,unknown,24,repaid,radio/tv,5943,0 - 1 yrs,1,female,none,1,other,44,none,own,2,skilled employee,1,yes,yes,1
82,unknown,15,repaid,radio/tv,1213,> 7 yrs,4,single male,none,3,building society savings,47,stores,own,1,skilled employee,1,yes,yes,0
83,unknown,18,repaid,business,1568,1 - 4 yrs,3,female,none,4,building society savings,24,none,rent,1,unskilled resident,1,none,yes,0
84,< 0 $,24,repaid,others,1755,> 7 yrs,4,female,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,0
85,< 0 $,10,repaid,radio/tv,2315,> 7 yrs,3,single male,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,0
86,unknown,12,critical,business,1412,1 - 4 yrs,4,female,guarantor,2,real estate,29,none,own,2,mangement self-employed,1,yes,yes,0
87,1 - 200 $,18,critical,furniture,1295,0 - 1 yrs,4,female,none,1,building society savings,27,none,own,2,skilled employee,1,none,yes,0
88,1 - 200 $,36,repaid,education,12612,1 - 4 yrs,1,single male,none,4,unknown/none,47,none,for free,1,skilled employee,2,yes,yes,1
89,< 0 $,18,repaid,car (new),2249,4 - 7 yrs,4,single male,none,3,other,30,none,own,1,mangement self-employed,2,yes,yes,0
90,< 0 $,12,fully repaid,repairs,1108,4 - 7 yrs,4,single male,none,3,real estate,28,none,own,2,skilled employee,1,none,yes,1
91,unknown,12,critical,radio/tv,618,> 7 yrs,4,single male,none,4,real estate,56,none,own,1,skilled employee,1,none,yes,0
92,< 0 $,12,critical,car (used),1409,> 7 yrs,4,single male,none,3,real estate,54,none,own,1,skilled employee,1,none,yes,0
93,unknown,12,critical,radio/tv,797,> 7 yrs,4,female,none,3,building society savings,33,bank,own,1,unskilled resident,2,none,yes,1
94,> 200 $,24,critical,furniture,3617,> 7 yrs,4,single male,co-applicant,4,unknown/none,20,none,rent,2,skilled employee,1,none,yes,0
95,1 - 200 $,12,repaid,car (new),1318,> 7 yrs,4,single male,none,4,real estate,54,none,own,1,skilled employee,1,yes,yes,0
96,1 - 200 $,54,fully repaid,business,15945,0 - 1 yrs,3,single male,none,4,unknown/none,58,none,rent,1,skilled employee,1,yes,yes,1
97,unknown,12,critical,education,2012,4 - 7 yrs,4,female,none,2,other,61,none,own,1,skilled employee,1,none,yes,0
98,1 - 200 $,18,repaid,business,2622,1 - 4 yrs,4,single male,none,4,other,34,none,own,1,skilled employee,1,none,yes,0
99,1 - 200 $,36,critical,radio/tv,2337,> 7 yrs,4,single male,none,4,real estate,36,none,own,1,skilled employee,1,none,yes,0
100,1 - 200 $,20,delayed,car (used),7057,4 - 7 yrs,3,single male,none,4,building society savings,36,bank,rent,2,mangement self-employed,2,yes,yes,0
101,unknown,24,repaid,car (new),1469,> 7 yrs,4,married male,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,0
102,1 - 200 $,36,repaid,radio/tv,2323,4 - 7 yrs,4,single male,none,4,other,24,none,rent,1,skilled employee,1,none,yes,0
103,unknown,6,delayed,radio/tv,932,1 - 4 yrs,3,female,none,2,real estate,24,none,own,1,skilled employee,1,none,yes,0
104,1 - 200 $,9,critical,furniture,1919,4 - 7 yrs,4,single male,none,3,other,35,none,rent,1,skilled employee,1,yes,yes,0
105,unknown,12,repaid,car (used),2445,0 - 1 yrs,2,married male,none,4,other,26,none,rent,1,skilled employee,1,yes,yes,0
106,1 - 200 $,24,critical,others,11938,1 - 4 yrs,2,single male,co-applicant,3,other,39,none,own,2,mangement self-employed,2,yes,yes,1
107,unknown,18,fully repaid this bank,car (new),6458,> 7 yrs,2,single male,none,4,unknown/none,39,bank,own,2,mangement self-employed,2,yes,yes,1
108,1 - 200 $,12,repaid,car (new),6078,4 - 7 yrs,2,single male,none,2,other,32,none,own,1,skilled employee,1,none,yes,0
109,< 0 $,24,repaid,furniture,7721,0 - 1 yrs,1,female,none,2,building society savings,30,none,own,1,skilled employee,1,yes,no,0
110,1 - 200 $,14,repaid,business,1410,> 7 yrs,1,married male,none,2,real estate,35,none,own,1,skilled employee,1,yes,yes,0
111,1 - 200 $,6,delayed,business,1449,> 7 yrs,1,divorced male,none,2,other,31,bank,own,2,skilled employee,2,none,yes,0
112,> 200 $,15,repaid,education,392,0 - 1 yrs,4,female,none,4,building society savings,23,none,rent,1,skilled employee,1,yes,yes,0
113,1 - 200 $,18,repaid,car (new),6260,4 - 7 yrs,3,single male,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,0
114,unknown,36,critical,car (new),7855,1 - 4 yrs,4,female,none,2,real estate,25,stores,own,2,skilled employee,1,yes,yes,1
115,< 0 $,12,repaid,radio/tv,1680,> 7 yrs,3,married male,none,1,real estate,35,none,own,1,skilled employee,1,none,yes,0
116,unknown,48,critical,radio/tv,3578,> 7 yrs,4,single male,none,1,real estate,47,none,own,1,skilled employee,1,yes,yes,0
117,< 0 $,42,repaid,radio/tv,7174,4 - 7 yrs,4,female,none,3,other,30,none,own,1,mangement self-employed,1,yes,yes,1
118,< 0 $,10,critical,furniture,2132,0 - 1 yrs,2,female,co-applicant,3,real estate,27,none,rent,2,skilled employee,1,none,no,0
119,< 0 $,33,critical,furniture,4281,1 - 4 yrs,1,female,none,4,other,23,none,own,2,skilled employee,1,none,yes,1
120,1 - 200 $,12,critical,car (new),2366,4 - 7 yrs,3,divorced male,none,3,other,36,none,own,1,mangement self-employed,1,yes,yes,0
121,< 0 $,21,repaid,radio/tv,1835,1 - 4 yrs,3,female,none,2,real estate,25,none,own,2,skilled employee,1,yes,yes,1
122,unknown,24,critical,car (used),3868,> 7 yrs,4,female,none,2,other,41,none,rent,2,mangement self-employed,1,yes,yes,0
123,unknown,12,repaid,furniture,1768,1 - 4 yrs,3,single male,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,0
124,> 200 $,10,critical,car (new),781,> 7 yrs,4,single male,none,4,unknown/none,63,none,for free,2,skilled employee,1,yes,yes,0
125,1 - 200 $,18,repaid,furniture,1924,0 - 1 yrs,4,female,none,3,real estate,27,none,rent,1,skilled employee,1,none,yes,1
126,< 0 $,12,critical,car (new),2121,1 - 4 yrs,4,single male,none,2,building society savings,30,none,own,2,skilled employee,1,none,yes,0
127,< 0 $,12,repaid,radio/tv,701,1 - 4 yrs,4,married male,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes,0
128,1 - 200 $,12,repaid,repairs,639,1 - 4 yrs,4,single male,none,2,other,30,none,own,1,skilled employee,1,none,yes,1
129,1 - 200 $,12,critical,car (used),1860,unemployed,4,single male,none,2,other,34,none,own,2,mangement self-employed,1,yes,yes,0
130,< 0 $,12,critical,car (new),3499,1 - 4 yrs,3,female,co-applicant,2,real estate,29,none,own,2,skilled employee,1,none,yes,1
131,1 - 200 $,48,repaid,car (new),8487,4 - 7 yrs,1,female,none,2,other,24,none,own,1,skilled employee,1,none,yes,0
132,< 0 $,36,delayed,education,6887,1 - 4 yrs,4,single male,none,3,building society savings,29,stores,own,1,skilled employee,1,yes,yes,1
133,unknown,15,repaid,furniture,2708,0 - 1 yrs,2,single male,none,3,building society savings,27,bank,own,2,unskilled resident,1,none,yes,0
134,unknown,18,repaid,furniture,1984,1 - 4 yrs,4,single male,none,4,unknown/none,47,bank,for free,2,skilled employee,1,none,yes,0
135,unknown,60,repaid,radio/tv,10144,4 - 7 yrs,2,female,none,4,real estate,21,none,own,1,skilled employee,1,yes,yes,0
136,unknown,12,critical,radio/tv,1240,> 7 yrs,4,female,none,2,real estate,38,none,own,2,skilled employee,1,yes,yes,0
137,unknown,27,delayed,car (used),8613,1 - 4 yrs,2,single male,none,2,other,27,none,own,2,skilled employee,1,none,yes,0
138,1 - 200 $,12,repaid,radio/tv,766,1 - 4 yrs,4,single male,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,1
139,1 - 200 $,15,critical,radio/tv,2728,4 - 7 yrs,4,single male,guarantor,2,real estate,35,bank,own,3,skilled employee,1,yes,yes,0
140,> 200 $,12,repaid,radio/tv,1881,1 - 4 yrs,2,female,none,2,other,44,none,rent,1,unskilled resident,1,yes,yes,0
141,> 200 $,6,repaid,car (new),709,0 - 1 yrs,2,married male,none,2,real estate,27,none,own,1,unemployed non-resident,1,none,no,0
142,1 - 200 $,36,repaid,radio/tv,4795,0 - 1 yrs,4,female,none,1,unknown/none,30,none,own,1,mangement self-employed,1,yes,yes,0
143,< 0 $,27,repaid,radio/tv,3416,1 - 4 yrs,3,single male,none,2,other,27,none,own,1,mangement self-employed,1,none,yes,0
144,< 0 $,18,repaid,furniture,2462,1 - 4 yrs,2,single male,none,2,other,22,none,own,1,skilled employee,1,none,yes,1
145,unknown,21,critical,furniture,2288,0 - 1 yrs,4,female,none,4,building society savings,23,none,own,1,skilled employee,1,yes,yes,0
146,1 - 200 $,48,fully repaid this bank,business,3566,4 - 7 yrs,4,single male,none,2,other,30,none,own,1,skilled employee,1,none,yes,0
147,< 0 $,6,critical,car (new),860,> 7 yrs,1,female,none,4,unknown/none,39,none,own,2,skilled employee,1,yes,yes,0
148,unknown,12,critical,car (new),682,4 - 7 yrs,4,female,none,3,other,51,none,own,2,skilled employee,1,yes,yes,0
149,< 0 $,36,critical,furniture,5371,1 - 4 yrs,3,single male,guarantor,2,building society savings,28,none,own,2,skilled employee,1,none,yes,0
150,unknown,18,critical,radio/tv,1582,> 7 yrs,4,single male,none,4,other,46,none,own,2,skilled employee,1,none,yes,0
151,unknown,6,repaid,radio/tv,1346,> 7 yrs,2,single male,none,4,unknown/none,42,bank,for free,1,skilled employee,2,yes,yes,0
152,unknown,10,repaid,radio/tv,1924,1 - 4 yrs,1,single male,none,4,building society savings,38,none,own,1,skilled employee,1,yes,no,0
153,> 200 $,36,repaid,radio/tv,5848,1 - 4 yrs,4,single male,none,1,other,24,none,own,1,skilled employee,1,none,yes,0
154,1 - 200 $,24,critical,car (used),7758,> 7 yrs,2,female,none,4,unknown/none,29,none,rent,1,skilled employee,1,none,yes,0
155,1 - 200 $,24,delayed,business,6967,4 - 7 yrs,4,single male,none,4,other,36,none,rent,1,mangement self-employed,1,yes,yes,0
156,< 0 $,12,repaid,furniture,1282,1 - 4 yrs,2,female,none,4,other,20,none,rent,1,skilled employee,1,none,yes,1
157,< 0 $,9,critical,repairs,1288,> 7 yrs,3,single male,guarantor,4,real estate,48,none,own,2,skilled employee,2,none,no,0
158,< 0 $,12,fully repaid this bank,retraining,339,> 7 yrs,4,married male,none,1,other,45,bank,own,1,unskilled resident,1,none,yes,0
159,1 - 200 $,24,repaid,car (new),3512,4 - 7 yrs,2,single male,none,3,other,38,bank,own,2,skilled employee,1,yes,yes,0
160,unknown,6,critical,radio/tv,1898,1 - 4 yrs,1,single male,none,2,real estate,34,none,own,2,unskilled resident,2,none,yes,0
161,unknown,24,critical,radio/tv,2872,> 7 yrs,3,single male,none,4,real estate,36,none,own,1,skilled employee,2,yes,yes,0
162,unknown,18,critical,car (new),1055,0 - 1 yrs,4,female,none,1,building society savings,30,none,own,2,skilled employee,1,none,yes,0
163,unknown,15,repaid,domestic appliances,1262,4 - 7 yrs,4,single male,none,3,building society savings,36,none,own,2,skilled employee,1,yes,yes,0
164,1 - 200 $,10,repaid,car (new),7308,unemployed,2,single male,none,4,unknown/none,70,bank,for free,1,mangement self-employed,1,yes,yes,0
165,unknown,36,repaid,car (new),909,> 7 yrs,4,single male,none,4,building society savings,36,none,own,1,skilled employee,1,none,yes,0
166,unknown,6,repaid,furniture,2978,1 - 4 yrs,1,single male,none,2,other,32,none,own,1,skilled employee,1,yes,yes,0
167,< 0 $,18,repaid,furniture,1131,unemployed,4,female,none,2,other,33,none,own,1,skilled employee,1,none,yes,1
168,1 - 200 $,11,repaid,furniture,1577,0 - 1 yrs,4,female,none,1,real estate,20,none,own,1,skilled employee,1,none,yes,0
169,unknown,24,repaid,furniture,3972,4 - 7 yrs,2,female,none,4,building society savings,25,none,rent,1,skilled employee,1,yes,yes,0
170,1 - 200 $,24,critical,business,1935,> 7 yrs,4,divorced male,none,4,real estate,31,none,own,2,skilled employee,1,yes,yes,1
171,< 0 $,15,fully repaid,car (new),950,> 7 yrs,4,single male,none,3,other,33,none,rent,2,skilled employee,2,none,yes,1
172,unknown,12,repaid,furniture,763,1 - 4 yrs,4,female,none,1,real estate,26,none,own,1,skilled employee,1,yes,yes,0
173,1 - 200 $,24,delayed,furniture,2064,unemployed,3,female,none,2,building society savings,34,none,own,1,mangement self-employed,1,yes,yes,1
174,1 - 200 $,8,repaid,radio/tv,1414,1 - 4 yrs,4,single male,guarantor,2,real estate,33,none,own,1,skilled employee,1,none,no,0
175,< 0 $,21,delayed,education,3414,0 - 1 yrs,2,single male,none,1,building society savings,26,none,own,2,skilled employee,1,none,yes,1
176,unknown,30,fully repaid this bank,car (used),7485,unemployed,4,female,none,1,real estate,53,bank,own,1,mangement self-employed,1,yes,yes,1
177,< 0 $,12,repaid,furniture,2577,1 - 4 yrs,2,divorced male,none,1,other,42,none,own,1,skilled employee,1,none,yes,0
178,< 0 $,6,critical,radio/tv,338,> 7 yrs,4,single male,none,4,other,52,none,own,2,skilled employee,1,none,yes,0
179,unknown,12,repaid,radio/tv,1963,4 - 7 yrs,4,single male,none,2,other,31,none,rent,2,mangement self-employed,2,yes,yes,0
180,< 0 $,21,critical,car (new),571,> 7 yrs,4,single male,none,4,real estate,65,none,own,2,skilled employee,1,none,yes,0
181,unknown,36,delayed,business,9572,0 - 1 yrs,1,divorced male,none,1,other,28,none,own,2,skilled employee,1,none,yes,1
182,1 - 200 $,36,delayed,business,4455,1 - 4 yrs,2,divorced male,none,2,real estate,30,stores,own,2,mangement self-employed,1,yes,yes,1
183,< 0 $,21,fully repaid this bank,car (new),1647,1 - 4 yrs,4,single male,none,2,building society savings,40,none,own,2,unskilled resident,2,none,yes,1
184,unknown,24,critical,furniture,3777,1 - 4 yrs,4,single male,none,4,real estate,50,none,own,1,skilled employee,1,yes,yes,0
185,1 - 200 $,18,critical,car (new),884,> 7 yrs,4,single male,none,4,other,36,bank,own,1,skilled employee,2,yes,yes,1
186,unknown,15,critical,radio/tv,1360,1 - 4 yrs,4,single male,none,2,building society savings,31,none,own,2,skilled employee,1,none,yes,0
187,1 - 200 $,9,fully repaid this bank,car (used),5129,> 7 yrs,2,female,none,4,unknown/none,74,bank,for free,1,mangement self-employed,2,yes,yes,1
188,1 - 200 $,16,critical,car (new),1175,unemployed,2,single male,none,3,other,68,none,for free,3,unemployed non-resident,1,yes,yes,0
189,< 0 $,12,repaid,radio/tv,674,4 - 7 yrs,4,married male,none,1,building society savings,20,none,own,1,skilled employee,1,none,yes,1
190,1 - 200 $,18,fully repaid,furniture,3244,1 - 4 yrs,1,female,none,4,other,33,bank,own,2,skilled employee,1,yes,yes,0
191,unknown,24,repaid,business,4591,1 - 4 yrs,2,single male,none,3,building society savings,54,none,own,3,mangement self-employed,1,yes,yes,1
192,1 - 200 $,48,fully repaid,business,3844,4 - 7 yrs,4,single male,none,4,unknown/none,34,none,for free,1,unskilled resident,2,none,yes,1
193,1 - 200 $,27,repaid,business,3915,1 - 4 yrs,4,single male,none,2,other,36,none,own,1,skilled employee,2,yes,yes,1
194,unknown,6,repaid,radio/tv,2108,4 - 7 yrs,2,married male,none,2,real estate,29,none,rent,1,skilled employee,1,none,yes,0
195,1 - 200 $,45,repaid,radio/tv,3031,1 - 4 yrs,4,single male,guarantor,4,building society savings,21,none,rent,1,skilled employee,1,none,yes,1
196,1 - 200 $,9,critical,education,1501,> 7 yrs,2,female,none,3,other,34,none,own,2,mangement self-employed,1,yes,yes,1
197,unknown,6,critical,radio/tv,1382,1 - 4 yrs,1,female,none,1,other,28,none,own,2,skilled employee,1,yes,yes,0
198,1 - 200 $,12,repaid,furniture,951,0 - 1 yrs,4,female,none,4,other,27,bank,rent,4,skilled employee,1,none,yes,1
199,1 - 200 $,24,repaid,car (used),2760,> 7 yrs,4,single male,none,4,unknown/none,36,bank,for free,1,skilled employee,1,yes,yes,0
200,1 - 200 $,18,delayed,furniture,4297,> 7 yrs,4,divorced male,none,3,unknown/none,40,none,own,1,mangement self-employed,1,yes,yes,1
201,unknown,9,critical,education,936,> 7 yrs,4,single male,none,2,other,52,none,own,2,skilled employee,1,yes,yes,0
202,< 0 $,12,repaid,car (new),1168,1 - 4 yrs,4,married male,none,3,real estate,27,none,own,1,unskilled resident,1,none,yes,0
203,unknown,27,delayed,business,5117,4 - 7 yrs,3,single male,none,4,other,26,none,own,2,skilled employee,1,none,yes,0
204,< 0 $,12,repaid,retraining,902,4 - 7 yrs,4,married male,none,4,building society savings,21,none,rent,1,skilled employee,1,none,yes,1
